product_id,name,description,final_price,variants_final_prices,image,sameDay
PROD-0001,6PCS Set Rose Gold Luxury Watch Women Ring,"Elevate your style with this stunning 6-piece jewelry set, perfect for any fashion-forward woman. The set includes a beautiful rose gold necklace and","₦68,500",,https://i.ibb.co/Rkv2ctKw/0001-6pcs-set-rose-gold-luxury-watch-women-ring-necklac-jpg.jpg,false
PROD-0002,10 Inch Plush Stuffed Teddy Bear with Red Heart,Adorable 10-inch plush teddy bear holding a red heart and rose — the perfect Valentine's surprise to melt her heart.,"₦84,900",,https://i.ibb.co/Z69LchXc/0002-10-inch-plush-stuffed-teddy-bear-with-red-heart-an-jpg.jpg,false
PROD-0003,"10"" Plush Teddy Bear Stuffed Animal Doll Soft","Soft, huggable 10-inch plush teddy — an irresistible Valentine's gift at an unbeatable price.","₦44,900",,https://i.ibb.co/PGGLL01x/0003-10-plush-teddy-bear-stuffed-animal-doll-soft-plush-jpg.jpg,false
PROD-0004,11oz Magic Color Change Coffee Mug Custom Photo,"【SURPRISING COLOR CHANGING COFFEE CUP】 When The Mug Is Cold, It Is The Original Color; Pour In Hot Liquid No Less Than 158 °F (Such As Hot Water, Hot Coffee Or Any Other Hot Drinks),The Color Fades To Reveal Your Hidden Picture. Just Show Off With Heat, Amazing Color Changing! 【PREMIUM THICK CERAMIC】 These customize mugs are made of durable ceramic, LEAD-FREE, hard and fine texture, uniform glaze color, carefully handcrafted to perfection. It will never fade, crack or damage easily and is sure to last a lifetime. 【IDEAL DESIGN FOR EVERYDAY USE】3.0” D x 3.8” H. This classic-shaped white and black durable ceramic mug is the most popular size, hold perfect 11 ounces. The perfect vessel for the perfect pour, whatever flows. The ergonomically-designed that you will feel lightweight in hand and comfortable to hold. 【SURPRISE GIFT】 You can add any design you want on this cup as a thoughtful gift to surprise your friends! This cup will be a great anniversary gift, friend gift, Christmas gift, personalized coffee cup gift for boyfriend or girlfriend. Ideal for all your daily routine coffee, tea or any occasion drinks with your friends or family. 【WARM REMINDER】 When this cup is molded according to the ceramic embryo, the caliber of the cup mouth and bottom will slightly retract, so it will be 1-2mm smaller than the cup body diameter, which is inevitable.So when you design a pattern, please leave about 3mm space at the top and bottom to ensure that your creation is clear and visible. WE CAN NOT PRINT Trademarked images (NFL, Disney, fashion brands, college/universities, etc.), screenshots, and watermarked images without written permission from the trademark/copyright owner. These images will be removed from your order and WILL NOT be printed. If your entire order contains these images, it will be canceled and refunded. If you have the proper permission, written proof should be emailed to us.","₦71,500",,https://i.ibb.co/jPTVKqMR/0004-11oz-magic-color-change-coffee-mug-custom-photo-te-png.png,false
PROD-0005,"12"" Plush Teddy Bear Stuffed Animals Soft",This cute teddy bear is about 10 inches tall(sitting size).,"₦50,900",,https://i.ibb.co/qMYJPy7w/0005-12-plush-teddy-bear-stuffed-animals-soft-plushies-jpg.jpg,false
PROD-0006,13pc Birthday Gift Basket,13 Pcs Birthdays Gifts Baskets for Men Gift for Men Birthdays Gift Box 16 Oz Tumblers Wallet Toiletry Bag Belt Sock Bottle Opener Bracelet Glasses Pen,"₦120,900",,https://i.ibb.co/dTTN80k/0006-13pc-birthday-gift-basket-for-men-tumbler-toiletry-png.png,false
PROD-0007,17″ Soft Brown Plush Teddy Bear,Take advantage of this amazing opportunity to own your very own beautiful bear.,"₦50,900",,https://i.ibb.co/chnfvkpw/0007-17-soft-brown-plush-teddy-bear-png.png,false
PROD-0008,18-Piece Eternal Soap Rose Bouquet,"????? USA Seller, Ship Fast! Special Gift: Soap flowers are made of soap material that will not wither but are so realistic",,"Model Name: Red, 18 Flower • Lot Size: 1 Pack — ₦82,900 | Model Name: Red, 18 Flower • Lot Size: 2 Pack — ₦129,900",https://i.ibb.co/RTLS2BVW/0008-18-piece-eternal-soap-rose-bouquet-jpg.jpg,false
PROD-0009,18-Piece Rose Bouquet – Floral Scented Gift Box,18Pcs/Box Soap Flower Bouquet Beautiful Flora Scented Bath Soap Flower.Product Gallery,"₦88,900",,https://i.ibb.co/mF1DcBTs/0009-18-piece-rose-bouquet-floral-scented-gift-box-jpg.jpg,false
PROD-0010,18PCS Multi-Use Soap Flower Bouquet with Gift,"Brand New and High Quality! Product Name: 18PCS Multi-Use Soap Flower Bouquet with Gift Box Material: Soap Rose, Cloth Color: Red, Pink, Blue, Purple Size: 50x15x8cm(19.69×5.91×3.15in) Features: 1. **Luxurious Presentation**: This set includes 18 beautifully crafted artificial soap flowers arranged in a stunning bouquet, presented in an elegant gift box, making it a perfect and luxurious gift for any occasion. 2. **Scented Elegance**: Each soap flower is delicately scented, offering a pleasant fragrance that enhances the ambiance of any room. The subtle aroma adds a touch of luxury and relaxation. 3. **Multi-Use and Practical**: These soap flowers are not just decorative; they can also be used as luxurious hand soaps or bath soaps. Their dual functionality makes them a practical and beautiful addition to any home. 4. **Perfect for Gifting**: Ideal for Mother’s Day, birthdays, anniversaries, or any special occasion, this soap flower bouquet is a thoughtful and unique gift that combines beauty and practicality. 5. **Long-Lasting Beauty**: Unlike real flowers, these artificial soap flowers do not wilt or fade, ensuring that their beauty and fragrance last much longer. They are a lasting reminder of your thoughtful gift. Package included: 1 Box as picture shown Notes: 1.The real color of the item may be slightly different from the pictures shown on website caused by many factors such as brightness of your monitor and light brightness. 2. Please allow slight manual measurement deviation for the data.",,"Color: Blue — ₦54,900 | Color: Pink — ₦54,900 | Color: Red — ₦55,500",https://i.ibb.co/Ngmkmn4M/0010-18pcs-multi-use-soap-flower-bouquet-with-gift-box-webp.webp,false
PROD-0011,18Pcs/set Bouquet Party Decoration Carnation Mix,"welcome to our store Name: flower bouquetMaterial: silk and soap flower Color: 4 colors as the picture showsSpecification: 20*12.5*32cmConversion: (1cm = 0.39in)Package includes:1PcsApplicable scene: outgoing，party，living room，classroomDear customer, thank you for choosing our product.We kindly remind you:Due to factors such as raw materials, technology,and lighting involved in the production process of soap flowers, there may be certain color differences.The colors presented by different monitors,as well as the lighting conditions during product image shooting and color adjustments during Post-processing,may also lead to color differences.Please refer to the actual item when purchasing.Thank you again for your support.Wishing you a pleasant shopping experience!product shows",,"Color: Blue — ₦102,900 | Color: Pink — ₦102,900 | Color: Purple — ₦109,900 | Color: Red — ₦102,900",https://i.ibb.co/1G52vHpP/0011-18pcsset-bouquet-party-decoration-carnation-mix-up-webp.webp,false
PROD-0012,1ct D Color Moissanite Men Ring 925 Sterling,"Material : 100% 925 Sterling Silver + rhodium plating+palladium plating+AF technology protective film Main Stone :Moissanite The total carat weight of the ring :1ct Color 😀 color Clarity : VVS1 Cut :Excelle Why choose moissanite stone? 1. Hardness is as high as 9.25, not easy to be scratched 2. Compared with diamonds,the price of Moissanite is very very affordable (less than ten tenths of diamonds)that can save more money for 3. The fire of moissanite is more than 2.5 times that of South African diamonds, sparkling 4.A variety of shapes can be selected,moissanite is the best substitute for diamonds 5.It is the best gift for Mother’s Day, Valentine’s Day, Christmas Day, birthday, graduation ceremony, anniversaries,etc.","₦109,900",,https://i.ibb.co/FbmcH3y8/0012-1ct-d-color-moissanite-men-ring-925-sterling-silve-webp.webp,false
PROD-0013,1Pc Handmade 7 Rose Soap Bouquet Little Bear Gift,"Welcome to our store Product Name: 7 Flowers Rose Soap Bouquet Little Bear Gift Box Color: Red/Pink/Blue/Purple Gift box size: Around 29 * 19 * 9cm Packaging weight: Approximately 200g/box Applicable scenarios: Valentine’s Day Mother’s Day Gift, Rose Flower Creative Birthday Party Gift","₦78,900",,https://i.ibb.co/4RhhwRcM/0013-1pc-handmade-7-rose-soap-bouquet-little-bear-gift-webp.webp,false
PROD-0014,2 for Buick Lucerne Remote Key Car Key FOB,"Item Condition:Our keyless entry remote fobs are brand new never used inside and out. This means that the outer shell (casing), button pad with icons,","₦57,500",,https://i.ibb.co/9mLYdhR1/0014-2-for-15912860-ouc60270-buick-lucerne-keyless-entr-jpg.jpg,false
PROD-0015,2 for Chevrolet Silverado Remote Key FOB Car Key,"Item Condition:Our keyless entry remote fobs are brand new never used inside and out. This means that the outer shell (casing), button pad with icons,","₦47,900",,https://i.ibb.co/gQ7vmFB/0015-2-for-15913421-ouc60270-chevrolet-silverado-keyles-jpg.jpg,false
PROD-0016,2 FT Tabletop Artificial Small Mini Tree with LED,Charming 2-foot tabletop Christmas tree with built-in LED lights and ornaments — instant holiday magic for any space.,"₦59,900",,https://i.ibb.co/DHhpmsYp/0016-2-ft-tabletop-artificial-small-mini-christmas-tree-jpg.jpg,false
PROD-0017,2 Pack! US Army ACU Uniform Top,Authentic U.S. Army ACU (Army Combat Uniform) Tops – Universal Camouflage Pattern (UCP),"₦93,900",,https://i.ibb.co/YB8TpTry/0018-2-pack-us-army-acu-uniform-top-digital-camo-ucp-co-jpg.jpg,false
PROD-0018,2 Pack! US Army OCP Uniform Top,Authentic U.S. Army OCP (Operational Camouflage Pattern) Uniform Tops Size LL (Large-Long),"₦94,900",,https://i.ibb.co/MkG69hNB/0019-2-pack-us-army-ocp-uniform-top-operational-camoufl-jpg.jpg,false
PROD-0019,2.0Ct Fasion Real Solid 925 Sterling Silver Ring,—,"₦62,500",,https://i.ibb.co/Q70s9RcW/0020-20ct-fasion-real-solid-925-sterling-silver-ring-fa-webp.webp,false
PROD-0020,2021 – 23 Tesla Model S Smart Key Remote FOB,Some Tesla service centers will not program a used key fob. This key will require being programmed using specialist equipment which can be done by a key programmer who deals in used keys. Please check regarding having it re-programmed BEFORE purchase.,"₦133,900",,https://i.ibb.co/KcdhNqTh/0021-2021-23-tesla-model-s-smart-key-remote-fob-fcc-2ae-jpg.jpg,false
PROD-0021,2021-2024 Mercedes-Benz 315MHz Matte Smart Remote,"Please read the full listing description before purchase.This listing is for 1x OEM Mercedes-Benz 4 Button Smart Key Remote.As these remotes are used,","₦62,900",,https://i.ibb.co/DgSrY8gK/0022-2021-2024-mercedes-benz-315mhz-matte-smart-remote-png.png,false
PROD-0022,Rainbow Jewel Real 925 Sterling Silver Wedding,"Hi, Friend, Welcome to our store. This infinity ring is Solid . 925 Silver Jewelry, NOT Plating jewelry, NOT White Alloy, and NOT White Brass that others may cheat the buyers and pretend to be silver. This Ring have the 925 Silver Stamp! Us $ 11 = 2 Rings.",,"Ring Size: 10 — ₦73,900 | Ring Size: 5 — ₦73,900 | Ring Size: 6 — ₦73,900 | Ring Size: 7 — ₦73,900 | Ring Size: 8 — ₦73,900 | Ring Size: 9 — ₦73,900",https://i.ibb.co/93CNmhRR/0023-2022-new-rainbow-jewel-real-925-sterling-silver-we-webp.webp,false
PROD-0023,2022-2024 Mercedes-Benz 4 Button Smart Key Remote,Genuine OEM Mercedes-Benz smart key fob with trunk release — factory-quality replacement for 2022–2024 models.,"₦88,500",,https://i.ibb.co/r2NHn7QW/0024-2022-2024-mercedes-benz-4-button-smart-key-remote-png.png,false
